ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
18,white,28,8,-0.2031,-0.0901,-0.2077,0.1175,0.0233,1.337,0.1396,0.1026,0.1049,0.179,0.2037,f2e1,r1bq1bnr/1ppp1k2/n4ppp/p3p3/P5PP/2PP1P2/1P1QPKB1/RNB3NR w - - 0 1,0.1619
76,white,12,8,-1.0,-1.0,-1.0,0.0,0.9999,8.0,1.0,0.9997,0.9998,1.0,1.0,e1f3,6r1/1pq3p1/p5pn/7k/3b1p1P/8/P3KP2/4N3 w - - 0 1,0.0
76,white,22,10,0.2362,0.3265,0.3027,0.0238,0.467,3.272,0.5148,0.2585,0.3255,0.3807,0.4219,d3d1,4k1r1/p3nnP1/1p2N3/8/3P4/3R4/P1P5/RK6 w - - 0 1,0.0033
39,black,38,8,-0.4439,-0.2525,-0.2531,0.0007,0.9793,2.042,0.3433,0.2769,0.3668,0.2049,0.2218,b5c4,rnb2knr/pp3N2/4p1Q1/Pq3p1P/2N2b2/8/1PPP2BP/R1B2K1R b - - 0 1,0.1112
7,black,33,9,0.1247,0.213,0.1945,0.0185,0.5529,3.864,0.6152,0.2281,0.3665,0.2185,0.2998,c8d7,rnbqkbnr/ppp1pp1p/6p1/8/2p5/N5P1/PPQPPP1P/R1B1KBNR b KQkq - 0 1,0.0061
77,black,47,8,1.0,1.0,1.0,0.0,0.9999,8.0,1.0,0.9993,0.9989,1.0,1.0,g5h4,1r5r/p1k5/P3pb2/1P1p2pp/3q3P/8/K7/4R3 b - - 0 1,0.0
24,white,32,8,-0.0904,-0.0005,-0.0461,0.0456,0.2328,2.604,0.4603,0.2002,0.2765,0.1855,0.2288,f4e6,rn1qk2r/ppp1n1p1/2bb3p/3p1p1P/2p2N2/4P3/PP1B1PP1/RN1QKBR1 w kq - 0 1,0.0627
29,black,2,2,-0.0775,-0.0391,-0.7094,0.6703,0.0,1.0,0.0,0.1542,0.1973,0.2017,0.2253,h7f7,rq2kbn1/2pnp2r/pp3pQ1/3P3p/P5P1/1PP2P2/NB1PB2P/4K2R b Kq - 0 1,0.7656
79,black,15,8,-0.9987,-0.9955,-0.9964,0.0008,0.9737,7.99,0.9994,0.9174,0.9321,0.9711,0.9956,a6b6,8/6bk/r4p2/N3p3/1P2P2p/2B2P1P/1P2N1K1/1R2R3 b - - 0 1,0.0
79,black,7,7,-0.975,-0.9489,-0.9495,0.0006,0.9808,6.159,0.9343,0.6891,0.7212,0.8309,0.8531,g5g4,8/p1p5/2p5/2Np2k1/3Pp1P1/2P1P3/P2B4/R5K1 b - - 0 1,0.0026
21,black,3,3,-0.6836,-0.6436,-0.9878,0.3442,0.0,1.0,0.0003,0.2225,0.2057,0.2097,0.1762,h7g6,rnb1k2r/pppp3p/4p1QB/3P4/8/6P1/PPP2P1P/RN1K1BNR b kq - 0 1,0.2828
38,white,28,10,-0.5166,-0.4087,-0.4131,0.0045,0.8673,4.241,0.6274,0.2362,0.3894,0.2285,0.3543,f2g1,r3kb1r/p1p1pp2/1pn2n2/5b1p/6p1/2P3PP/PP1P1K1N/RNB1R3 w q - 0 1,0.001
